CONTEXTID,CONTEXTNAME,CONTEXTPARENTCONTEXTID,PATIENTID,ENTERPRISEID,FIRSTNAME,LASTNAME,MIDDLEINITIAL,NAMESUFFIX,SEX,DOB,ADDRESS,ADDRESS2,CITY,STATE,ZIP,PATIENTEMPLOYERID,PATIENTHOMEPHONE,WORKPHONE,MOBILEPHONE,CONTACTPREFERENCE,EMAIL,DONOTCALLYN,ETHNICITY,CDCETHNICITYCODE,RACE,CDCRACECODE,LANGUAGE,ISO6392CODE,MARITALSTATUS,DECEASEDDATE,PATIENTSTATUS,HOLDSTATEMENTREASON,NEWPATIENTID,REGISTRATIONDATE,PRIMARYPROVIDERID,PREFERREDLABID,SELFPAYRESTRICTIONYN,OCCUPATION,REFERRALSOURCE,REFERRALSOURCEOTHER,GUARANTORFIRSTNAME,GUARANTORLASTNAME,GUARANTORMIDDLEINITIAL,GUARANTORNAMESUFFIX,GUARANTORDOB,GUARANTORSSN,GUARANTORRELATIONSHIP,GUARANTORADDRESS,GUARANTORADDRESS2,GUARANTORCITY,GUARANTORSTATE,GUARANTORZIP,GUARANTOREMPLOYERID,GUARDIANFIRSTNAME,GUARDIANLASTNAME,GUARDIANMIDDLEINITIAL,GUARDIANNAMESUFFIX,EMERGENCYCONTACTNAME,EMERGENCYCONTACTRELATIONSHIP,EMERGENCYCONTACTPHONE,PATIENTSSN,REGISTRATIONDEPARTMENTID,CURRENTDEPARTMENTID,PROVIDERGROUPID,UNCONFIRMEDFAMILYSIZE,UNCONFINCOMEPERPAYPERIOD,UNCONFIRMEDPAYPERIOD,UNCONFIRMEDYEARLYINCOME,UNCONFIRMEDPOVERTYLEVEL,UNCONFIRMEDFAMILYSZEDECLYN,UNCONFIRMEDINCOMEDECLINEDYN,GUARANTORPHONE,AGRICULTURALWORKER,AGRICULTURALWORKERTYPES,HOMELESSSTATUS,HOMELESSSTATUSTYPES,SCHOOLBASEDHEALTHCENTERPNT,VETERANSTATUS,TESTPATIENTYN,PRIVACYNOTICEGIVENFLAG,PRIVACYNOTICEGIVENDATE,PRIVACYNOTICEGIVENDEPTID,PRIVACYNOTICEGIVENBY,PRIVNOTICENOTGIVENREASON,PRIVNOTICENOTGIVENNOTE,PATIENTSIGONFILEFLAG,PATIENTSIGEFFECTIVEDATE,PATIENTSIGEXPIRATIONDATE,INSUREDSIGONFILEFLAG,INSUREDSIGEFFECTIVEDATE,INSUREDSIGEXPIRATIONDATE,CONSENTTOCALLFLAG,CONSENTTOCALLEFFDATE,GENDERIDENTITY,SEXUALORIENTATION,CONSENTTOTEXTYN,PUBLICHOUSING,DEFAULTPRESCRIPTIONPROVID,LASTUPDATED,FAMILYID,SMSOPTINDATE,DEFAULTIMAGINGPROVIDERID,GUARANTOREMAIL,TRANSLATEDHOMEPHONEINDEX,TRANSLATEDWORKPHONEINDEX,TRANSLATEDMOBILEPHONEINDEX,DELETEDDATETIME,DELETEDBY,RESTRICTREPORTINGYN,Record_Created_Date,Record_Updated_Date
1001,HC_INSIGHT++,2001,1085,12456,Felicia,Rivas,r,MD,M,00:00.0,6698 Hamilton Keys Suite 710,Suite 596,Ramosfurt,AR,21612,1721682,-3322,964-776-5797x4350,001-230-762-2502x92707,Mail,sherrycarrillo@example.org,Y,Asian,Other,Asian,AA,English,1,Married,5/3/1986,Inactive,,,12:33.8,841,148,,Software Developer,Other,n,,,,PhD,00:00.0,,father,012 Nathan Crescent Suite 860,,,AZ,,776739,,Hayes,y,,,Other,482.350.0881x455,,2527,2259,1,,4939.0,her,42566.0,,,,,,gas,,,,N,,,,,Kerry Anderson,,,,5/1/2014,7/11/1983,,00:00.0,3/16/2021,,,,,Y,N,,00:00.0,,,,,6.0,4.0,2.0,,,Y,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1088,12514,Drew,Arnold,n,MD,F,00:00.0,525 Rodgers Parkway Suite 934,Suite 171,Paynefort,NJ,21025,129910,+1-858-810-8811x5335,942.381.1130,001-610-514-0891,Mail,millernancy@example.net,Y,Caucasian,Other,Other,AS,French,1,Married,,Inactive,,,12:33.8,757,130,,Software Developer,Other,n,Carol,Hall,R,,00:00.0,56975753.0,institute,,Apt. 164,South Seanfurt,,,827604,,,Z,II,,mother,(455)581-7249x711,,2294,2313,1,2.0,,politics,53335.0,,Y,,,Y,receive,Y,,Y,Y,Y,,00:00.0,150.0,William Garcia,,,,,,Y,00:00.0,12/11/1992,N,,,,,N,,00:00.0,,4/3/1992,,,4.0,6.0,3.0,,,Y,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1089,12540,David,Tyler,N,DDS,M,00:00.0,8861 Douglas Spurs Suite 204,Apt. 488,Ambershire,MA,8684,1744424,(284)473-7031x728,(665)719-1231x18055,537-920-6358x51932,Email,pvasquez@example.net,N,Asian,Other,Hispanic,CC,Hindi,1,Divorced,4/14/2009,Inactive,,,12:33.8,1399,114,,Graphic Designer,Friend,n,,,P,MD,00:00.0,,Other,,,West Vincentbury,,,588879,Jesse,,,DDS,,father,(833)875-2017x7035,,2522,2421,1,10.0,,treat,50247.0,,N,,6653525432,N,degree,,Y,,,Y,,00:00.0,133.0,Kelly Cox,,,,,3/7/1996,N,00:00.0,5/8/1964,Y,00:00.0,,,,,,00:00.0,,2/19/1960,,vazqueznicholas@example.org,,10.0,5.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1092,12524,Christopher,Cruz,j,II,F,00:00.0,642 Debra Trace,Apt. 355,Lake Kellybury,MA,79999,1638926,439.451.6125,(439)238-9864x40240,9044349237,Phone,qmunoz@example.net,N,African American,CC,Asian,Other,French,1,Married,,Inactive,,,12:33.8,1590,116,,Teacher,hospital staff,n,Ryan,,,DDS,00:00.0,,mother,,Suite 489,Lake Jose,,,562906,Joel,,,DVM,,mother,,20711716.0,2478,2273,1,,1835.0,,,,,N,,Y,experience,,,N,,Y,N,00:00.0,139.0,,join,,,2/10/1997,6/16/1988,Y,00:00.0,4/14/1957,N,,,,,Y,,00:00.0,,5/11/1972,,ianwilliams@example.org,3.0,,9.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1093,12430,Christopher,Taylor,v,DVM,F,00:00.0,438 Maldonado Manor,Apt. 058,Port Maria,DC,61532,393324,719.527.9065x8730,(992)550-7810,928-277-3363,Email,fglenn@example.net,N,Asian,HP,African American,HP,French,1,Single,2/10/2005,Active,,,12:33.8,298,104,,Writer,Friend,n,Randall,Thompson,,III,00:00.0,,father,70482 Ward Summit,Suite 092,New Pamelaberg,,,898549,April,,,,,institute,001-847-391-3635,,2363,2425,1,2.0,3935.0,,,,,,,,,,,Y,Y,N,Y,00:00.0,,,,Reason value eye page woman color.,N,,,,00:00.0,7/23/1985,Y,00:00.0,,,Y,,,00:00.0,,,,,,,6.0,,,N,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1094,12470,Luis,Rojas,f,MD,M,00:00.0,3651 Williams Trace,Apt. 566,Jenkinsfurt,KS,63754,1720812,001-970-538-1359,001-619-955-3965x570,4325746340,Mail,frichmond@example.org,N,Hispanic,AA,Asian,HP,Greek,1,Married,4/15/1966,Active,,,12:33.8,172,113,,Chef,Friend,n,Wendy,,,II,00:00.0,17365258.0,institute,25582 James Stravenue,,,ID,,89811,,,N,,,institute,514-806-5923x75793,,2503,2374,1,8.0,,first,59318.0,,Y,,,Y,military,Y,Y,Y,,,N,,,,,Send but husband force business couple.,Y,,,Y,,1/9/1995,Y,00:00.0,,,,N,,00:00.0,,5/9/1992,,,10.0,2.0,,,,Y,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1095,12454,Stephen,Hernandez,K,DVM,M,00:00.0,768 Drew Islands Suite 319,Suite 654,Annabury,PW,68757,244726,274.402.4464x49451,001-795-651-0422x51982,447-506-3738x3724,Mail,brenda79@example.net,Y,Other,HP,Caucasian,CC,Hindi,1,Married,11/16/1961,Active,,,12:33.8,1623,144,Y,Graphic Designer,Friend,n,Heather,,C,PhD,00:00.0,95995880.0,institute,,Apt. 956,Jeromeberg,,34013.0,990064,,,I,MD,,Other,,,2338,2351,1,7.0,,,90184.0,,N,,771.564.9141x636,Y,,N,,,,N,Y,,,,,Skin want structure.,Y,2/23/2021,,,00:00.0,9/18/2005,,,,,,,,00:00.0,,1/16/1967,,kevinkennedy@example.org,,,,,,N,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1096,12498,Brandon,Harper,D,MD,M,00:00.0,0425 Angela Shore,Apt. 026,West Samantha,NE,80548,1213315,001-573-862-7684x232,(563)943-3700,001-642-721-6179x92168,Email,tclarke@example.org,N,Hispanic,AA,Caucasian,AA,English,1,Married,3/21/2011,Active,,,12:33.8,385,134,Y,Electrician,INTERNET,n,,,v,Jr.,00:00.0,91154076.0,Other,,Apt. 776,,,58078.0,575951,Kevin,,,DDS,Madison Guerrero MD,institute,,16500545.0,2356,2273,1,3.0,,,,,,,(530)256-9299x03172,,,,Y,Y,,Y,,,148.0,,want,,Y,5/15/2000,,,,2/6/1964,,,,,Y,,,00:00.0,,5/13/2001,,,6.0,,10.0,,,Y,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1102,12406,Kimberly,Gonzalez,d,MD,M,00:00.0,5330 Hudson Shore Apt. 520,Apt. 119,Lukeshire,KS,35701,233259,568.349.9961x2996,484.764.3603x671,-4396,Phone,kevinlittle@example.com,Y,Hispanic,AA,African American,Other,French,1,Divorced,,Active,,,12:33.8,256,111,,Chef,Other,n,,Boyd,,DDS,00:00.0,,mother,69351 Daniel Passage Apt. 854,Suite 398,Lake Johnville,,,1170117,,,j,DDS,Bradley Martinez,institute,,,2489,2516,1,3.0,,win,53797.0,,Y,N,489.230.4959,N,,Y,,N,,Y,,00:00.0,,,most,Exist sort he.,N,,4/30/1973,,,10/9/1970,,,,,,,,00:00.0,,8/14/1979,,omurphy@example.org,,1.0,10.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1103,12502,Thomas,Roberson,C,DVM,F,00:00.0,51420 Lowe Lodge Apt. 448,Suite 048,Christopherberg,RI,16955,1717066,278.901.6928,704-542-1444x38010,+1-671-418-8516x084,Email,lbarrett@example.org,N,Asian,HP,Other,HP,French,1,Divorced,12/17/2001,Active,,,12:33.8,540,130,,Writer,hospital staff,n,,Brooks,J,,00:00.0,96830444.0,Other,3037 Burton Shore Apt. 444,,South Maureen,IA,,270791,Sheryl,Mason,f,Jr.,,father,950.540.8525x0083,59853415.0,2303,2494,1,8.0,,good,,,Y,Y,,,put,Y,Y,,N,,Y,,166.0,Katelyn Bryant,quality,Marriage order author certainly create watch type new.,,4/25/1968,1/10/1982,,,2/4/1959,,,,,,Y,,00:00.0,,7/9/1973,,melanieburnett@example.org,,,,,,N,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1104,12455,Kathy,Flores,c,IV,F,00:00.0,7242 Crawford Fort Suite 240,Apt. 816,East Hollyberg,MI,21243,1836848,799.846.4801,+1-972-691-1035x5465,-4146,Email,john78@example.com,Y,Hispanic,Other,Caucasian,AA,French,1,Married,,Active,,,12:33.8,836,127,,Data Scientist,INTERNET,n,Nathan,,X,MD,00:00.0,89074532.0,Other,,,Emilyville,,19555.0,960131,Jessica,Smith,X,PhD,Nicholas Nelson,mother,-1553,,2413,2400,1,7.0,,,83069.0,,N,,,,,,,,,,Y,,,Jordan Harrington,history,Phone first follow describe.,,,8/9/1977,,,1/28/1998,,00:00.0,,,,,,00:00.0,,1/3/1960,,,,2.0,,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1107,12526,Danielle,Olsen,E,Jr.,M,00:00.0,56927 Adams Path Suite 847,Suite 367,North Rita,MI,71545,481806,001-701-861-5217x906,514.844.8310x689,(905)537-0847x78793,Email,ustewart@example.net,N,Other,CC,Asian,AA,Hindi,1,Divorced,,Active,,,12:33.8,1594,103,Y,Nurse,hospital staff,n,Brandon,,,,00:00.0,,mother,5333 Caldwell Rapid,,Evanston,AZ,,699156,Jeremy,,z,,Zachary Weber,Friend,,,2508,2444,1,,2757.0,,82238.0,,,N,,N,state,N,Y,N,,,,00:00.0,162.0,,,,N,2/29/2000,8/23/1997,,,3/8/1976,Y,,,,N,,,00:00.0,,,,,2.0,,2.0,,,Y,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1108,12455,Andre,Martin,Z,Jr.,M,00:00.0,20657 Aguirre Light,Apt. 781,Lake Jacob,MN,96808,684423,(410)739-0610,001-265-903-4573x69253,+1-864-618-9886x058,Phone,paulwoodward@example.com,N,Caucasian,CC,Caucasian,HP,English,1,Divorced,7/17/1992,Inactive,,,12:33.8,902,138,,Electrician,advertisement,n,,Martin,,,00:00.0,34022800.0,father,09699 Myers Mountains,Apt. 030,East Christianfurt,,,1096779,Brian,Lopez,,,Melissa Wood,institute,+1-409-777-5134x201,76155405.0,2323,2438,1,10.0,,,60371.0,,,,,Y,young,,Y,,,Y,N,00:00.0,140.0,Kelly Garcia,arm,Effect rather main wide.,Y,,,,00:00.0,5/26/1991,,,,,,,,00:00.0,,10/8/1984,,,10.0,,,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1109,12506,Crystal,George,x,PhD,F,00:00.0,9562 Steven Coves,Apt. 907,Dorothychester,MP,13917,1369893,001-623-491-5493,001-928-421-7970x6481,6362850638,Mail,rmays@example.com,Y,Asian,Other,Other,CC,Hindi,1,Divorced,,Inactive,,,12:33.8,1039,130,N,Nurse,Other,n,Sandra,Lloyd,,Jr.,00:00.0,98175229.0,Other,,Suite 363,,MS,,992704,James,,,,Justin Villanueva,Other,,45393326.0,2300,2472,1,,,form,,,Y,,+1-717-535-3123x97018,N,huge,,,,,N,Y,,,,,,N,,12/5/1962,,00:00.0,6/30/2002,,,,,,,,00:00.0,,,,weberpatricia@example.com,5.0,8.0,,,,Y,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1113,12351,Bob,Martinez,D,Jr.,M,00:00.0,265 Tiffany Parks,Suite 883,Allisonfort,SD,23308,823713,(358)507-7276x066,248-288-4939,862.564.8841x9659,Mail,thomasharmon@example.com,N,Caucasian,HP,Asian,CC,French,1,Divorced,5/3/2016,Inactive,,,12:33.8,902,101,N,Writer,Other,n,,Norton,,,00:00.0,17958257.0,father,,Apt. 657,West James,GA,,654597,Steven,Schaefer,,,,mother,,,2255,2385,1,5.0,,,68701.0,,Y,N,(257)940-3784x40757,,hospital,N,Y,N,Y,,,,,,,,,7/1/2015,5/1/2016,Y,,11/1/2009,,,,,Y,Y,,00:00.0,,3/21/1986,,grahamrobert@example.com,,7.0,8.0,,,Y,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1115,12442,Debra,Miller,q,DVM,M,00:00.0,41959 Courtney Villages Suite 575,Apt. 604,Port Jason,IN,11227,2085430,+1-276-563-4082x3002,258.237.2766,+1-611-910-7350x316,Phone,igilbert@example.net,N,Caucasian,CC,African American,AS,german,1,Single,,Inactive,,,12:33.8,861,143,Y,Software Developer,Other,n,,Pope,,,00:00.0,,institute,,Suite 894,,,37007.0,28840,Todd,Butler,c,,Ryan Jensen,institute,,52690026.0,2402,2482,1,2.0,4322.0,,,,,Y,,Y,,Y,Y,,Y,,N,00:00.0,147.0,,share,,,1/12/1978,,Y,,7/8/1983,,00:00.0,,,Y,,,00:00.0,,,,,,8.0,1.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1117,12457,Randall,Blanchard,f,II,M,00:00.0,364 Garcia Drive,Apt. 501,South Linda,VA,74718,2274734,474.549.5494x2969,(940)379-4010x8232,001-518-861-3338,Mail,lrodriguez@example.net,Y,African American,AS,Caucasian,Other,English,1,Divorced,,Active,,,12:33.8,448,134,Y,Marketing Manager,Friend,n,,,d,MD,00:00.0,30377435.0,mother,,,,,,12830,,King,b,MD,John Lester,Other,(356)935-4779x9192,66752825.0,2331,2467,1,,,phone,,,,,(322)601-4346x0114,Y,by,Y,,,Y,,Y,00:00.0,,,,,,3/21/1956,11/10/1956,,00:00.0,4/20/1957,,00:00.0,,,N,Y,,00:00.0,,9/2/1959,,,,,,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1119,12520,Christopher,Cline,e,Jr.,F,00:00.0,11258 Aaron Mount Apt. 888,Apt. 908,Brownton,AL,8188,2163005,(716)354-5066x2848,652.358.9750x03513,361-217-8436x550,Mail,donaldsonwilliam@example.com,N,Hispanic,AA,Other,HP,Greek,1,Single,2/5/1977,Active,,,12:33.8,1584,105,,Data Scientist,Other,n,Brett,,q,MD,00:00.0,,father,74116 Brown Fall Suite 198,Suite 007,West Melissa,IN,,718241,William,,,DVM,,mother,512.242.5842x6863,,2325,2508,1,,1304.0,suggest,,,N,,760-965-5739,N,at,N,,N,,,N,,,,indeed,,Y,3/25/1996,,Y,,3/30/2020,N,,,,,Y,,00:00.0,,,,thale@example.com,,6.0,4.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1120,12482,Gregory,Collier,I,MD,M,00:00.0,8788 Alexandra Bridge Suite 974,Suite 427,Port Mary,TX,30216,2285661,2047187896,(646)676-6339,895.533.9121x6632,Email,kelly41@example.net,N,Caucasian,HP,Asian,HP,English,1,Single,6/3/1983,Active,,,12:33.8,1922,134,N,Graphic Designer,hospital staff,n,,,r,,00:00.0,,mother,,Apt. 411,,,,156419,,Holland,,,Nicole Clark,father,,,2437,2526,1,,3473.0,,81558.0,,,,,Y,mission,N,Y,N,,,N,,,,national,Identify together most however its full significant none.,N,10/9/2001,,N,00:00.0,4/29/2018,,00:00.0,,,N,,,00:00.0,,,,,,,10.0,,,Y,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1121,12437,Andrew,Whitehead,y,PhD,F,00:00.0,5975 Cindy Forges,Apt. 586,Gordonhaven,ME,72562,2044675,-1649,+1-838-815-7605x8369,(454)340-1518,Mail,camerongibbs@example.net,N,Asian,HP,Hispanic,HP,French,1,Married,,Active,,,12:33.8,1770,146,,Chef,advertisement,n,Dakota,,,MD,00:00.0,,Other,67831 Contreras Isle,Suite 882,East Rebecca,,,273270,,,,,,father,976.443.7165,32682175.0,2264,2288,1,,1384.0,,84257.0,,N,N,409-943-2425x8600,,fall,Y,Y,,,,Y,00:00.0,,Sandra Henry,,,,7/26/1996,,Y,00:00.0,11/26/1975,,,,,N,,,00:00.0,,12/14/2004,,,,2.0,2.0,,,N,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1123,12412,Daniel,Bradshaw,Y,DDS,M,00:00.0,03123 Nichols Mountains,Suite 616,New Lisa,MP,58534,789486,(560)210-7221x056,455-382-1404x1834,001-466-307-8972,Mail,qsimpson@example.com,Y,African American,AS,Other,Other,Hindi,1,Single,12/14/1996,Inactive,,,12:33.8,699,115,Y,Software Developer,Friend,n,,,,,00:00.0,76976658.0,Other,,Apt. 633,,,23755.0,764480,Darlene,Bass,,,Allison Terry,mother,,42033957.0,2339,2253,1,6.0,,,38571.0,,,,,,guess,,,,Y,N,,00:00.0,156.0,George Diaz,determine,,N,,2/22/2007,,,2/23/1969,,00:00.0,,,Y,N,,00:00.0,,,,xbaker@example.org,,5.0,,,,Y,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1124,12359,Sara,Quinn,T,DVM,M,00:00.0,9951 Brock Passage,Suite 979,Karenside,IL,35229,957078,(723)948-6512x29856,001-323-648-9368,001-411-803-9233x451,Mail,kimberly38@example.net,N,Asian,CC,Caucasian,AA,Greek,1,Single,10/17/1959,Active,,,12:33.8,1377,134,Y,Chef,INTERNET,n,,Burke,,,00:00.0,,father,,,,OR,,503333,John,Mccoy,,,,father,,,2507,2246,1,,,,58232.0,,,N,(557)400-1001,N,consumer,N,,,Y,Y,N,,,Stephanie Freeman,,Safe major eat our east forget hear.,N,9/27/1976,4/22/1952,,00:00.0,9/18/1964,,00:00.0,,,N,Y,,00:00.0,,12/6/1984,,,5.0,,6.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1127,12499,Ronald,Thomas,a,Jr.,M,00:00.0,69609 Monroe Ridge Apt. 530,Apt. 745,Murraymouth,VA,12977,876183,(590)368-2661x7955,3394150982,-9463,Mail,devin96@example.net,N,Other,AA,Caucasian,AS,german,1,Married,4/19/1989,Inactive,,,12:33.8,549,149,Y,Mechanical Engineer,Friend,n,,,A,,00:00.0,84701243.0,mother,,,Port Jasminburgh,HI,,816278,,,,,,father,,,2296,2276,1,,3727.0,,,,Y,,,,,,,N,N,,Y,,,Lindsey White,kitchen,,Y,1/29/1955,5/6/1965,N,,3/14/2015,N,,,,,,,00:00.0,,7/29/1987,,christopherrice@example.org,,,,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1128,12394,Julie,Lee,u,II,F,00:00.0,840 Adams Hill,Apt. 198,South Mary,KS,72497,645789,001-680-302-3019x231,(394)875-8476x2285,220-332-5096,Email,gmorgan@example.net,Y,Hispanic,AA,Other,HP,English,1,Divorced,,Inactive,,,12:33.8,1129,131,N,Software Developer,Other,n,,,,,00:00.0,,institute,948 Kelley Park Suite 561,,Lake Karen,,,524548,,Miller,,,Jennifer Nunez,father,,64624527.0,2471,2435,1,4.0,,adult,88148.0,,Y,,,Y,knowledge,,,N,N,N,,,,Roy Chandler,,,Y,,4/29/1974,,00:00.0,2/12/1985,,00:00.0,,,,N,,00:00.0,,3/2/1982,,michaelturner@example.com,4.0,10.0,,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1129,12470,Juan,Reed,R,MD,F,00:00.0,267 Melissa Centers Suite 702,Apt. 280,Maldonadostad,MA,75176,1925331,4409710372,662.893.6155,831.686.1266,Mail,ytorres@example.net,Y,African American,AS,Hispanic,AS,Greek,1,Divorced,8/11/1970,Active,,,12:33.8,762,143,,Graphic Designer,advertisement,n,Paul,,,DVM,00:00.0,,father,,Suite 701,Barkerside,CO,11407.0,338472,Jacqueline,Morris,,,,mother,736.268.1542,25403681.0,2296,2396,1,,4705.0,,,,,Y,,Y,road,Y,Y,,N,,Y,00:00.0,141.0,Kristen Harper,,Cut difference hand.,,,6/12/2007,,00:00.0,2/11/1977,,00:00.0,,,Y,N,,00:00.0,,8/14/1968,,,7.0,9.0,3.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1130,12345,Kayla,Flores,C,DDS,M,00:00.0,32477 Francisco Crest Apt. 503,Suite 450,South Amy,KY,74566,1948693,830-284-0058x7725,601-955-1509x289,782-581-3305x55340,Mail,jonesadam@example.org,Y,Caucasian,CC,Other,CC,Hindi,1,Single,12/28/1962,Active,,,12:33.8,1576,149,N,Marketing Manager,INTERNET,n,Steven,Johnson,,,00:00.0,73075157.0,Other,34875 Donna Flats Apt. 777,Suite 568,Stewartview,AR,48390.0,669080,,,X,,,mother,,,2363,2477,1,1.0,,professor,81862.0,,N,Y,,,southern,,,,N,,,00:00.0,159.0,,why,Movie green successful reveal free bar.,Y,,,,,9/20/1996,,00:00.0,,,,,,00:00.0,,8/31/1999,,,1.0,9.0,7.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1131,12348,Nathan,Johnson,q,DDS,F,00:00.0,4975 Townsend Curve,Apt. 656,Hansontown,VA,62122,2271208,416.637.8600x0263,920-295-0106x325,+1-548-964-5847x098,Mail,gmcintosh@example.org,Y,African American,CC,Other,HP,Greek,1,Single,8/28/1977,Active,,,12:33.8,1989,108,,Electrician,Friend,n,,Guzman,,,00:00.0,,institute,237 Berg Tunnel Apt. 132,,,RI,,144763,,House,r,DVM,Jack Tran,mother,955.207.9064,,2441,2363,1,8.0,3433.0,,,,Y,N,001-514-390-1487,,both,N,,,Y,,,00:00.0,,Jenna Long,level,Study why accept prove.,,,,Y,,6/27/2003,Y,00:00.0,,,N,Y,,00:00.0,,3/18/1954,,pauljohnson@example.net,,2.0,5.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1134,12389,Fernando,Fisher,I,IV,F,00:00.0,51693 Barajas Tunnel Apt. 822,Suite 628,Port Justin,UT,46567,1911967,8163807019,292.688.3267x460,001-856-753-4873x80055,Email,paul47@example.org,Y,Other,AA,Asian,AS,german,1,Single,,Active,,,12:33.8,1067,140,,Data Scientist,Other,n,,,,,00:00.0,51215283.0,Friend,,,,MA,20542.0,748334,Thomas,,,III,,Other,,37055679.0,2272,2285,1,,4775.0,,51804.0,,Y,,455-359-8389,N,,,,,N,Y,,,,,,,,,,Y,,9/19/1969,N,,,,Y,,,00:00.0,,,,,,,9.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1135,12425,Cheryl,Miller,t,DVM,M,00:00.0,453 Paul Ramp,Suite 553,Josephfort,DC,99304,1717902,549.692.9867,214-604-0357x1825,(972)410-8767x85391,Mail,ybrown@example.com,N,Asian,HP,African American,HP,French,1,Married,5/30/2001,Active,,,12:33.8,1480,121,,Electrician,INTERNET,n,,Johnson,q,II,00:00.0,,institute,440 Sanders Rest,,North Tiffany,,,123773,,Anderson,,,,mother,,,2348,2245,1,1.0,,human,,,N,,,Y,,Y,,,N,,Y,00:00.0,,,,Popular husband miss.,N,4/29/1987,2/21/1958,,,4/19/1987,Y,,,,N,N,,00:00.0,,,,,4.0,,5.0,,,Y,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1137,12445,Tanner,Young,Q,DDS,F,00:00.0,612 Knox Pines,Suite 483,East Tammy,AS,4490,59284,001-269-352-8139x05368,+1-789-399-3919x9859,(825)493-2380x3230,Mail,michele00@example.com,Y,Asian,HP,Hispanic,HP,French,1,Divorced,7/1/1971,Inactive,,,12:33.8,670,134,,Mechanical Engineer,hospital staff,n,Mark,,,,00:00.0,68909865.0,Other,607 James Haven,Apt. 098,,,,1039162,Garrett,Frazier,O,,,father,,,2375,2383,1,2.0,,,40267.0,,,,,,,,Y,,,,Y,,145.0,,,,,,,,00:00.0,10/20/1956,,,,,,,,00:00.0,,11/14/2011,,barnescole@example.com,8.0,5.0,,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1138,12498,Thomas,King,x,DVM,F,00:00.0,5375 Scott Turnpike Suite 165,Suite 811,New Davidborough,PA,88631,2101124,4672152475,333-401-6973,(852)949-4341x357,Email,eanderson@example.com,N,African American,AS,Caucasian,Other,Greek,1,Single,,Active,,,12:33.8,882,124,,Teacher,hospital staff,n,,,o,MD,00:00.0,,father,50740 Garcia Cliffs,Apt. 026,,WV,46671.0,792325,,Ruiz,B,,,Friend,788-225-5403x3353,,2342,2306,1,1.0,3232.0,until,47640.0,,,Y,770.294.6937,Y,,Y,Y,,,,N,00:00.0,165.0,Eric Stanley,deal,Prepare window big woman.,N,7/22/1971,12/2/1980,,00:00.0,5/18/1958,N,,,,N,,,00:00.0,,,,ian07@example.org,,5.0,6.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,1139,12479,Jennifer,Hill,U,MD,M,00:00.0,8203 Chavez Spurs,Suite 666,Nathanhaven,NV,46798,1915262,001-278-950-3187,(441)339-1657x9356,001-335-330-5824,Mail,zturner@example.com,Y,Other,AS,Asian,AA,French,1,Single,5/31/1950,Active,,,12:33.8,1341,116,,Writer,hospital staff,n,,Gregory,,II,00:00.0,23041866.0,institute,600 Khan Passage Apt. 717,Apt. 901,West Michelehaven,KS,49410.0,1171141,,,,Jr.,,institute,,90748063.0,2353,2401,1,4.0,1918.0,friend,,,Y,Y,6675574387,Y,put,,,N,N,,,00:00.0,,,green,Town walk degree drug total conference more.,N,,9/20/1957,Y,,5/15/2015,Y,00:00.0,,,,,,00:00.0,,10/28/1956,,samuelthompson@example.com,3.0,,5.0,,,N,00:00.0,00:00.0
